title,price_mad,breed,gender,age,height_cm,url,location
Jument 9 ans arabe barbe pedigree,14000,Arabian-Barb Mix,Mare,9.0,,,
Jument 7 ans pur sang arabe pedigree,15000,Arabian,Mare,7.0,,,
Cheval barb,40000,Barb,Unknown,,,,
Superbe Jument Pur-Sang Arabe,25000,Arabian,Mare,,,,
Pur sang arabe,12000,Arabian,Unknown,,,,
Double poney,9000,Pony,Unknown,,,,
Jument pur sang arabe,60000,Arabian,Mare,,,,
Hongre frison de sept ans,17000,Friesian,Gelding,,,,
Jument arabe barbre,45000,Arabian,Mare,,,,
cheval frison pour débutants et novices,15000,Friesian,Unknown,,,,
Pur sang arabe,45000,Arabian,Unknown,,,,
Étalon barbe- arabe,7000,Arabian,Stallion,,,,
Arabe barbe التبوريدة,55000,Arabian-Barb Mix,Unknown,,,,
Pur sang arabe,78000,Arabian,Unknown,,,,
Cheval frison noir guapo pour votre famille,15000,Friesian,Unknown,,,,
Jument Arabe Barbe,15000,Arabian-Barb Mix,Mare,,,,
Arabe barbe عود عربي بربري للبيع,40000,Arabian-Barb Mix,Unknown,,,,
Cheval Arabe barbe عودة للبيع,15000,Arabian-Barb Mix,Unknown,,,,
Cheval Arabe barbe,22000,Arabian-Barb Mix,Unknown,,,,
عربي أصيل pur-sang arabe,50000,Arabian,Unknown,,,,
Arabe barbe,50000,Arabian-Barb Mix,Unknown,,,,
Étalon pour sang arabe,80000,Arabian,Stallion,,,,
cheval frison pour débutants et novices,17000,Friesian,Unknown,,,,
cheval frison noir guapo pour votre famille,15000,Friesian,Unknown,,,,
CHEVAL ARABE BARBE DRESSE TBOURIDA,40000,Arabian-Barb Mix,Unknown,,,,
Arabo- frison 4ans,50000,Friesian,Unknown,4.0,,,
vente chevaux pur sang arabe,15000,Arabian,Unknown,,,,
MAGNIFIQUE DOUBLE PONEY,1700000,Pony,Unknown,,,,
Vente de poney,1300000,Pony,Unknown,,,,
Poney,350000,Pony,Unknown,,,,
Poney,1500000,Pony,Unknown,,,,
"Oldenburg, Gelding, 9 years, 16,2 hh, Black",160500,Oldenburg,Gelding,9.0,,https://www.ehorses.com/oldenburg-gelding-9years-162-hh-black-dressagehorses-showjumpers-leisurehorses-dresden-zaschendorf/4698018.html,"Dresden Zaschendorf, DE"
"PRE, Stallion, 4 years, 15,2 hh, Brown",96300,Andalusian,Stallion,4.0,,https://www.ehorses.com/pre-stallion-4years-152-hh-brown-baroquehorses-leisurehorses-dressagehorses-santa-marta/4714043.html,"Santa Marta, ES"
"Holstein, Gelding, 16 years, 16,1 hh, Brown",155150,Holsteiner,Gelding,16.0,,https://www.ehorses.com/holstein-gelding-16years-161-hh-brown-showjumpers-eventinghorses-leisurehorses-glandorf/4598996.html,"Glandorf, DE"
"Hanoverian, Gelding, 4 years, 16 hh, Chestnut-Red",588500,Hanoverian,Gelding,4.0,,https://www.ehorses.com/hanoverian-gelding-4years-16-hh-chestnut-red-dressagehorses-working-equitation-horses-coin/4735214.html,"Coin, ES"
"Oldenburg, Gelding, 7 years, Chestnut-Red",187250,Oldenburg,Gelding,7.0,,https://www.ehorses.com/oldenburg-gelding-7years-chestnut-red-dressagehorses-wilnsdorfwilnsdorf/4532452.html,"WilnsdorfWilnsdorf, DE"
"Welsh B, Mare, 13 years, 11,2 hh, Brown-Light",26750,Welsh,Mare,13.0,,https://www.ehorses.com/welsh-b-mare-13years-112-hh-brown-light-leisurehorses-carriagehorses-nieuw-vennep/4744675.html,"Nieuw-Vennep, NL"
"Hanoverian, Gelding, 7 years, 16,2 hh, Chestnut-Red",101650,Hanoverian,Gelding,7.0,,https://www.ehorses.com/hanoverian-gelding-7years-162-hh-chestnut-red-dressagehorses-yvelines/4749732.html,"Yvelines, FR"
"German Riding Pony, Gelding, 2 years, 14,1 hh, Dun",80250,Pony,Gelding,2.0,,https://www.ehorses.com/german-riding-pony-gelding-2years-141-hh-dun-dressagehorses-showjumpers-leisurehorses-carriagehorses-wegeleben/4749656.html,"Wegeleben, DE"
"Oldenburg-International (OS), Mare, 1 year, 13,1 hh, Bay-Dark",48150,Oldenburg,Mare,,,https://www.ehorses.com/oldenburg-international-os-mare-1year-131-hh-bay-dark-showjumpers-breedinghorses-loeningen/4579160.html,"Löningen, DE"
"Oldenburg-International (OS), Mare, 16 years, 16,2 hh, Chestnut",138030,Oldenburg,Mare,16.0,,https://www.ehorses.com/oldenburg-international-os-mare-16years-162-hh-chestnut-breedinghorses-showjumpers-loeningen/4580122.html,"Löningen, DE"
"Arabian horses, Mare, 1 year, 15 hh, Chestnut-Red",133750,Arabian,Mare,,,https://www.ehorses.com/arabian-horses-mare-1year-15-hh-chestnut-red-leisurehorses-endurancehorses-breedinghorses-dressagehorses-gemuenden-felda/4749664.html,"Gemünden (Felda), DE"
"PRE Mix, Mare, 4 years, 15,2 hh, Grey-Blue-Tan",80250,Andalusian,Mare,4.0,,https://www.ehorses.com/pre-mare-4years-152-hh-grey-blue-tan-leisurehorses-aachen/4729484.html,"Aachen, DE"
"Lusitano, Mare, 7 years, 15,2 hh, Brown",123049,Lusitano,Mare,7.0,,https://www.ehorses.com/lusitano-mare-7years-152-hh-brown-dressagehorses-working-equitation-horses-baroquehorses-leisurehorses-martfeld/4704212.html,"Martfeld, DE"
"Hanoverian, Gelding, 4 years, 16 hh, Chestnut-Red",588500,Hanoverian,Gelding,4.0,,https://www.ehorses.com/hanoverian-gelding-4years-16-hh-chestnut-red-dressagehorses-working-equitation-horses-coin/4735214.html,"Coin, ES"
"Oldenburg, Gelding, 7 years, Chestnut-Red",187250,Oldenburg,Gelding,7.0,,https://www.ehorses.com/oldenburg-gelding-7years-chestnut-red-dressagehorses-wilnsdorfwilnsdorf/4532452.html,"WilnsdorfWilnsdorf, DE"
"PRE Mix, Stallion, 6 years, 15.2 hh, Grey-Dapple",187250,Andalusian,Stallion,6.0,,https://www.ehorses.com/pre-stallion-6years-15-2-hh-grey-dapple-baroquehorses-showhorses-leisurehorses-dressagehorses-martfeld/4705450.html,"Martfeld, DE"
"Andalusian, Gelding, 7 years, 15.2 hh, Palomino",106893,Andalusian,Gelding,7.0,,https://www.ehorses.com/andalusian-gelding-7years-15-2-hh-palomino-dressagehorses-valencia/4431691.html,"Valencia, ES"
"PRE, Stallion, 2 years, 15.2 hh",58849,Andalusian,Stallion,2.0,,https://www.ehorses.com/pre-stallion-2years-15-2-hh-gaitedhorses-los-rosales/4719006.html,"Los Rosales, ES"
"German Riding Pony, Gelding, 11 years, 14.2 hh, Chestnut-Red",321000,Pony,Gelding,11.0,,https://www.ehorses.com/german-riding-pony-gelding-11years-14-2-hh-chestnut-red-dressagehorses-showjumpers-schmalfeld/4676738.html,"Schmalfeld, DE"
"Hanoverian, Mare, 2 years",40125,Hanoverian,Mare,2.0,,https://www.ehorses.com/hanoverian-mare-2years-showjumpers-eventinghorses-den-ham/4747849.html,"Den Ham, NL"
"Hanoverian, Mare, 5 years, 15.2 hh, Smoky-Black",192600,Hanoverian,Mare,5.0,,https://www.ehorses.com/hanoverian-mare-5years-15-2-hh-smoky-black-dressagehorses-vechelde/4728584.html,"Vechelde, DE"
"Andalusian, Mare, 5 years, 15.1 hh, Bay-Dark",80250,Andalusian,Mare,5.0,,https://www.ehorses.com/andalusian-mare-5years-15-1-hh-bay-dark-leisurehorses-wellheim/4749622.html,"Wellheim, DE"
"Hanoverian, Gelding, 4 years, 16 hh, Chestnut-Red",588500,Hanoverian,Gelding,4.0,,https://www.ehorses.com/hanoverian-gelding-4years-16-hh-chestnut-red-dressagehorses-working-equitation-horses-coin/4735214.html,"Coin, ES"
"Oldenburg, Gelding, 7 years, Chestnut-Red",187250,Oldenburg,Gelding,7.0,,https://www.ehorses.com/oldenburg-gelding-7years-chestnut-red-dressagehorses-wilnsdorfwilnsdorf/4532452.html,"WilnsdorfWilnsdorf, DE"
"Andalusian, Mare, 6 years, 15.2 hh, Brown",80250,Andalusian,Mare,6.0,,https://www.ehorses.com/andalusian-mare-6years-15-2-hh-brown-leisurehorses-showjumpers-dressagehorses-wellheim/4749601.html,"Wellheim, DE"
"Hanoverian, Gelding, 4 years, 15.2 hh, Chestnut",160500,Hanoverian,Gelding,4.0,,https://www.ehorses.com/hanoverian-gelding-4years-15-2-hh-chestnut-dressagehorses-showjumpers-leisurehorses-hilkenbrook/4693399.html,"Hilkenbrook, DE"
"Hanoverian, Mare, 6 years, 16 hh, Brown",160500,Hanoverian,Mare,6.0,,https://www.ehorses.com/hanoverian-mare-6years-16-hh-brown-dressagehorses-showjumpers-esterwegen/4707586.html,"Esterwegen, DE"
"Haflinger, Mare, 4 years, 14.1 hh",94160,Haflinger,Mare,4.0,,https://www.ehorses.com/haflinger-mare-4years-14-1-hh-dressagehorses-showhorses-showjumpers-carriagehorses-hainsfarth/4749574.html,"Hainsfarth, DE"
"Holstein, Gelding, 11 years, 16.2 hh, Brown",909499,Holsteiner,Gelding,11.0,,https://www.ehorses.com/holstein-gelding-11years-16-2-hh-brown-showjumpers-bissendorf/4723193.html,"Bissendorf, DE"
"Oldenburg-International (OS), Mare, 7 years, 15.2 hh, Chestnut-Red",321000,Oldenburg,Mare,7.0,,https://www.ehorses.com/oldenburg-international-os-mare-7years-15-2-hh-chestnut-red-showjumpers-bissendorf/4713272.html,"Bissendorf, DE"
"PRE Mix, Gelding, 3 years, 15.2 hh, Grey",133750,Andalusian,Gelding,3.0,,https://www.ehorses.com/pre-gelding-3years-15-2-hh-grey-leisurehorses-working-equitation-horses-baroquehorses-dressagehorses-stipsdorf/4749579.html,"Stipsdorf, DE"
"PRE, Mare, Foal (01/2026), Black",80250,Andalusian,Mare,0.0,,https://www.ehorses.com/pre-mare-foals-black-dressagehorses-breedinghorses-jemeppe-sur-sambre/4749589.html,"Jemeppe sur sambre, BE"
"Friesian horses, Stallion, 5 years, 15.3 hh, Black",588500,Friesian,Stallion,5.0,,https://www.ehorses.com/friesian-horses-stallion-5years-15-3-hh-black-dressagehorses-dubai/4747787.html,"Dubai, AE"
"KWPN, Mare, 5 years, 15.2 hh, Bay-Dark",588500,KWPN,Mare,5.0,,https://www.ehorses.com/kwpn-mare-5years-15-2-hh-bay-dark-dressagehorses-showjumpers-leisurehorses-dubai/4747820.html,"Dubai, AE"
"Friesian horses, Mare, 9 years, 16 hh, Black",588500,Friesian,Mare,9.0,,https://www.ehorses.com/friesian-horses-mare-9years-16-hh-black-dressagehorses-dubai/4748042.html,"Dubai, AE"
"Friesian horses, Stallion, 4 years, 16 hh, Black",321000,Friesian,Stallion,4.0,,https://www.ehorses.com/friesian-horses-stallion-4years-16-hh-black-dressagehorses-dubai/4748006.html,"Dubai, US"
"Friesian horses, Stallion, 4 years, 16 hh, Black",588500,Friesian,Stallion,4.0,,https://www.ehorses.com/friesian-horses-stallion-4years-16-hh-black-dressagehorses-dubai/4747996.html,"Dubai, US"
"Oldenburg-International (OS), Mare, 6 years, 17,2 hh, Bay",187250,Oldenburg,Mare,6.0,,https://www.ehorses.com/oldenburg-international-os-mare-6years-172-hh-bay-showjumpers-dressagehorses-zduchovice/4355683.html,"Zduchovice, CZ"
"Lusitano, Stallion, 2 years, 15,2 hh, Buckskin",155150,Lusitano,Stallion,2.0,,https://www.ehorses.com/lusitano-stallion-2years-152-hh-buckskin-showhorses-working-equitation-horses-breedinghorses-dressagehorses-herborn/4684749.html,"Herborn, DE"
"KWPN, Mare, 15 years, 16 hh, Black",192600,KWPN,Mare,15.0,,https://www.ehorses.com/kwpn-mare-15years-16-hh-black-dressagehorses-ense/4711618.html,"Ense, DE"
"PRE, Stallion, 1 year, 16 hh, Grey",80250,Andalusian,Stallion,,,https://www.ehorses.com/pre-stallion-1year-16-hh-grey-working-equitation-horses-baroquehorses-westernhorses-dressagehorses-rerik-ot-russow/4608976.html,"Rerik OT Russow, DE"
"German Riding Pony, Gelding, 4 years, 14,1 hh",107000,Pony,Gelding,4.0,,https://www.ehorses.com/german-riding-pony-gelding-4years-141-hh-dressagehorses-showjumpers-hainsfarth/4749552.html,"Hainsfarth, DE"
"PRE, Mare, 6 years, 15,2 hh, Black",95230,Andalusian,Mare,6.0,,https://www.ehorses.com/pre-mare-6years-152-hh-black-baroquehorses-showhorses-leisurehorses-dressagehorses-traventhal/4671320.html,"Traventhal, DE"
"PRE Mix, Gelding, 5 years, 16,2 hh, Dun",187250,Andalusian,Gelding,5.0,,https://www.ehorses.com/pre-gelding-5years-162-hh-dun-leisurehorses-working-equitation-horses-baroquehorses-dressagehorses-traventhal/4721652.html,"Traventhal, DE"
"German Riding Pony, Stallion, 4 years, Bay-Dark",133750,Pony,Stallion,4.0,,https://www.ehorses.com/german-riding-pony-stallion-4years-bay-dark-dressagehorses-eventinghorses-showjumpers-leisurehorses-hamm/4749554.html,"Hamm, DE"
"PRE Mix, Gelding, 4 years, 15,1 hh, Dun",187250,Andalusian,Gelding,4.0,,https://www.ehorses.com/pre-gelding-4years-151-hh-dun-leisurehorses-working-equitation-horses-baroquehorses-dressagehorses-traventhal/4730270.html,"Traventhal, DE"
"PRE Mix, Gelding, 4 years, 16 hh, Black",187250,Andalusian,Gelding,4.0,,https://www.ehorses.com/pre-gelding-4years-16-hh-black-leisurehorses-working-equitation-horses-baroquehorses-dressagehorses-traventhal/4721662.html,"Traventhal, DE"
"PRE, Stallion, 5 years, 16,1 hh, Dun",321000,Andalusian,Stallion,5.0,,https://www.ehorses.com/pre-stallion-5years-161-hh-dun-leisurehorses-baroquehorses-sire-dressagehorses-traventhal/4721642.html,"Traventhal, DE"
"PRE, Gelding, 5 years, 15,2 hh, Grey",133750,Andalusian,Gelding,5.0,,https://www.ehorses.com/pre-gelding-5years-152-hh-grey-leisurehorses-working-equitation-horses-baroquehorses-dressagehorses-traventhal/4745091.html,"Traventhal, DE"
"PRE Mix, Gelding, 13 years, 15,2 hh, Grey",133750,Andalusian,Gelding,13.0,,https://www.ehorses.com/pre-gelding-13years-152-hh-grey-baroquehorses-working-equitation-horses-showhorses-leisurehorses-stipsdorf/4749541.html,"Stipsdorf, DE"
"KWPN, Mare, 5 years, 16,2 hh, Brown",203300,KWPN,Mare,5.0,,https://www.ehorses.com/kwpn-mare-5years-162-hh-brown-dressagehorses-gard/4749529.html,"Gard, FR"
"Oldenburg, Mare, 5 years, 16,2 hh, Brown",187250,Oldenburg,Mare,5.0,,https://www.ehorses.com/oldenburg-mare-5years-162-hh-brown-dressagehorses-showjumpers-radeberg/4599977.html,"Radeberg, DE"
"KWPN, Gelding, 9 years, 17,3 hh, Brown",80250,KWPN,Gelding,9.0,,https://www.ehorses.com/kwpn-gelding-9years-173-hh-brown-dressagehorses-meckenheim/4717119.html,"Meckenheim, DE"
"Hanoverian, Gelding, 14 years, 16,2 hh, Black",64199,Hanoverian,Gelding,14.0,,https://www.ehorses.com/hanoverian-gelding-14years-162-hh-black-leisurehorses-english-pleasure-showjumpers-peratallada/4646083.html,"PERATALLADA, ES"
"KWPN, Mare, 4 years, 16,1 hh, Black",240749,KWPN,Mare,4.0,,https://www.ehorses.com/kwpn-mare-4years-161-hh-black-dressagehorses-groot-ammers/4726957.html,"Groot-Ammers, NL"
"Lusitano, Stallion, 2 years, 15,1 hh, Dun",80250,Lusitano,Stallion,2.0,,https://www.ehorses.com/lusitano-stallion-2years-151-hh-dun-dressagehorses-working-equitation-horses-las-pinas/4576811.html,"Las Piñas, ES"
"Haflinger, Gelding, 11 years, 13 hh, Chestnut",35350,Haflinger,Gelding,11.0,,https://www.ehorses.com/haflinger-gelding-11years-13-hh-chestnut-trailhorses-ranch-riding-horses-canyon-tx/4592696.html,"Canyon TX, US"
