source,id,title,price,currency,location,type,age,gender,url
avito.ma,https://www.avito.ma/fr/hay_moulay_rachid/voitures_d_occasion/Volkswagen_Tiguan_56506997,Volkswagen Tiguan,299000,MAD,,Cheval,,,https://www.avito.ma/fr/hay_moulay_rachid/voitures_d_occasion/Volkswagen_Tiguan_56506997.htm
avito.ma,https://www.avito.ma/fr/californie/voitures_d_occasion/Range_Rover_Evoque_24_600_km_57508457,Range Rover Evoque 24 600 km,365000,MAD,,Cheval,,,https://www.avito.ma/fr/californie/voitures_d_occasion/Range_Rover_Evoque_24_600_km_57508457.htm
avito.ma,https://www.avito.ma/fr/sidi_bernoussi/voitures_d_occasion/309_essence_8_chevaux_en_bon_état_57514342,309 essence 8 chevaux en bon état,25000,MAD,,Cheval,,,https://www.avito.ma/fr/sidi_bernoussi/voitures_d_occasion/309_essence_8_chevaux_en_bon_état_57514342.htm
avito.ma,https://www.avito.ma/fr/quods/voitures_d_occasion/309_Mazout_7_Chevaux__moteur_306_économique_57510878,"309 Mazout 7 Chevaux, moteur 306 économique",34000,MAD,,Cheval,,,https://www.avito.ma/fr/quods/voitures_d_occasion/309_Mazout_7_Chevaux__moteur_306_économique_57510878.htm
avito.ma,https://www.avito.ma/fr/guéliz/voitures_d_occasion/Audi_RSQ3_Essence_2021_500_chevaux_57468275,Audi RSQ3 Essence 2021 500 chevaux,600000,MAD,,Cheval,,,https://www.avito.ma/fr/guéliz/voitures_d_occasion/Audi_RSQ3_Essence_2021_500_chevaux_57468275.htm
avito.ma,https://www.avito.ma/fr/hay_boudir/animaux_de_ferme/Cheval_à_Vendre___Pur_Sang_Arabe_57505399,Cheval à Vendre / Pur Sang Arabe,30000,MAD,,Cheval,,,https://www.avito.ma/fr/hay_boudir/animaux_de_ferme/Cheval_à_Vendre___Pur_Sang_Arabe_57505399.htm
avito.ma,https://www.avito.ma/fr/maarif/jouets/Petit_Vero_cheval_sur_bois_57504703,Petit Vero cheval sur bois,250,MAD,,Cheval,,,https://www.avito.ma/fr/maarif/jouets/Petit_Vero_cheval_sur_bois_57504703.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/accessoires_pour_animaux/Selle_de_cheval_neuve_57494023,Selle de cheval neuve,3500,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/accessoires_pour_animaux/Selle_de_cheval_neuve_57494023.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Touareg_V6_12_chevaux__taxe_6000_dh__tout_payé_57493704,"Touareg V6 12 chevaux, taxe 6000 dh, tout payé",75000,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Touareg_V6_12_chevaux__taxe_6000_dh__tout_payé_57493704.htm
avito.ma,https://www.avito.ma/fr/berkane/remorques_et_caravanes/Van_à_chevaux_occasion_57493053,Van à chevaux occasion,55000,MAD,,Cheval,,,https://www.avito.ma/fr/berkane/remorques_et_caravanes/Van_à_chevaux_occasion_57493053.htm
avito.ma,https://www.avito.ma/fr/ancienne_médina/arts_et_collections/Deux_très_vieux_chevaux_de_bronze_57490827,Deux très vieux chevaux de bronze,1200,MAD,,Cheval,,,https://www.avito.ma/fr/ancienne_médina/arts_et_collections/Deux_très_vieux_chevaux_de_bronze_57490827.htm
avito.ma,https://www.avito.ma/fr/autre_secteur/terrains_et_fermes/Ferme_de_Luxe_Titrée_sur_1_4_Hectare___Benslimane_57357324,Ferme de Luxe Titrée sur 1.4 Hectare – Benslimane,8000000,MAD,,Cheval,,,https://www.avito.ma/fr/autre_secteur/terrains_et_fermes/Ferme_de_Luxe_Titrée_sur_1_4_Hectare___Benslimane_57357324.htm
avito.ma,https://www.avito.ma/fr/californie/voitures_d_occasion/Range_Rover_Evoque_24_600_km_57508457,Range Rover Evoque 24 600 km,365000,MAD,,Cheval,,,https://www.avito.ma/fr/californie/voitures_d_occasion/Range_Rover_Evoque_24_600_km_57508457.htm
